movieId,title,year
1,Toy Story,1995
2,Jumanji,1995
3,Grumpier Old Men,1995
4,Waiting to Exhale,1995
5,Father of the Bride Part II,1995
6,Heat,1995
7,Sabrina,1995
9,Sudden Death,1995
10,GoldenEye,1995
11,American President,1995
12,Dracula: Dead and Loving It,1995
14,Nixon,1995
15,Cutthroat Island,1995
16,Casino,1995
17,Sense and Sensibility,1995
18,Four Rooms,1995
19,Ace Ventura: When Nature Calls,1995
20,Money Train,1995
21,Get Shorty,1995
22,Copycat,1995
23,Assassins,1995
24,Powder,1995
25,Leaving Las Vegas,1995
26,Othello,1995
29,City of Lost Children,1995
31,Dangerous Minds,1995
32,Twelve Monkeys,1995
34,Babe,1995
36,Dead Man Walking,1995
39,Clueless,1995
41,Richard III,1995
42,Dead Presidents,1995
43,Restoration,1995
44,Mortal Kombat,1995
45,To Die For,1995
46,How to Make an American Quilt,1995
47,Seven,1995
48,Pocahontas,1995
50,Usual Suspects,1995
52,Mighty Aphrodite,1995
54,Big Green,1995
57,Home for the Holidays,1995
58,Postman,1994
60,Indian in the Cupboard,1995
61,Eye for an Eye,1996
62,Mr. Holland's Opus,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
65,Bio-Dome,1996
66,Lawnmower Man 2: Beyond Cyberspace,1996
69,Friday,1995
70,From Dusk Till Dawn,1996
71,Fair Game,1995
75,Big Bully,1996
76,Screamers,1995
78,Crossing Guard,1995
79,Juror,1996
80,White Balloon,1995
81,Things to Do in Denver When You're Dead,1995
82,Antonia's Line,1995
85,Angels and Insects,1995
86,White Squall,1996
89,Nick of Time,1995
92,Mary Reilly,1996
93,Vampire in Brooklyn,1995
95,Broken Arrow,1996
97,Hate,1995
100,City Hall,1996
101,Bottle Rocket,1996
103,Unforgettable,1996
104,Happy Gilmore,1996
105,Bridges of Madison County,1995
110,Braveheart,1995
112,Rumble in the Bronx,1995
113,Before and After,1996
118,If Lucy Fell,1996
119,"Steal Big, Steal Little",1995
122,Boomerang,1992
125,Flirting With Disaster,1996
126,NeverEnding Story III,1994
132,Jade,1995
135,Down Periscope,1996
140,Up Close and Personal,1996
141,Birdcage,1996
144,Brothers McMullen,1995
145,Bad Boys,1995
147,Basketball Diaries,1995
148,Awfully Big Adventure,1995
149,Amateur,1994
150,Apollo 13,1995
151,Rob Roy,1995
153,Batman Forever,1995
155,Beyond Rangoon,1995
156,Blue in the Face,1995
157,Canadian Bacon,1995
158,Casper,1995
159,Clockers,1995
160,Congo,1995
161,Crimson Tide,1995
163,Desperado,1995
164,Devil in a Blue Dress,1995
165,Die Hard: With a Vengeance,1995
168,First Knight,1995
170,Hackers,1995
172,Johnny Mnemonic,1995
173,Judge Dredd,1995
175,Kids,1995
176,Living in Oblivion,1995
177,Lord of Illusions,1995
180,Mallrats,1995
181,Mighty Morphin Power Rangers: The Movie,1995
183,Mute Witness,1994
184,Nadja,1994
185,Net,1995
187,Party Girl,1995
